PS I:\freelance\SCA Smartcard ML Pipeline-3des> python main.py --mode train --scan_type all --processed_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed" --model_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models" --opt_dir "I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Optimization" --input_dir "I:\freelance\SCA-Smartcard-Pipeline-3\Input1"           
Running: 'C:\Program Files\Python312\python.exe' 'I:\freelance\SCA Smartcard ML Pipeline-3des\pipeline-code\main.py' --mode train --scan_type all --processed_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Processed' --model_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models' --opt_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Optimization' --input_dir 'I:\freelance\SCA-Smartcard-Pipeline-3\Input1' --output_dir 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\Output\run_manual' --model_root 'I:\freelance\SCA Smartcard ML Pipeline-3des\3des-pipeline\models\run_manual' --card_type universal --file_pattern 'traces_data_*.npz' --enable_external_labels --label_map_xlsx 'I:\freelance\SCA Smartcard ML 2026-03-15 16:04:47,968 - ingest - INFO - Total traces found: 6001
2026-03-15 16:04:52,629 - main - INFO - [STEP 1] Feature Extraction (3DES traces)...
2026-03-15 16:04:53,128 - feature_eng - INFO - Loaded external 3DES label map from I:\freelance\SCA Smartcard ML Pipeline-3des\KALKi TEST CARD.xlsx (6 entries).
2026-03-15 16:04:53,153 - ingest - INFO - Filtering for trace type '3des': 10 file(s) kept.
2026-03-15 16:04:53,153 - ingest - INFO - Final trace file count: 10.
2026-03-15 16:04:56,622 - ingest - WARNING - Trace count mismatch in traces_data_visa_UN_1000T_1.npz: trace_data=1000, no=10. Using trace_data count.    
2026-03-15 16:04:57,141 - ingest - WARNING - Trace count mismatch in traces_data_visa_UN_1000T_2.npz: trace_data=1000, no=10. Using trace_data count.    
2026-03-15 16:04:58,848 - ingest - INFO - Total traces found: 15000
2026-03-15 16:04:58,859 - feature_eng - INFO - [Pass 1] Global & Targeted POI Search...
2026-03-15 16:05:08,002 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:05:15,481 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
2026-03-15 16:05:40,496 - preprocess - INFO - Aligning traces using SAD (ChipWhisperer ResyncSAD) with correlation fallback...
